CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
MEM 1.550781 1587456304.4630
MEM 21.480469 1587456304.5751
MEM 55.707031 1587456304.6924
MEM 68.113281 1587456304.8176
MEM 86.136719 1587456304.9294
MEM 92.718750 1587456305.0463
MEM 102.585938 1587456305.1597
MEM 120.343750 1587456305.2716
MEM 126.140625 1587456305.3836
MEM 134.902344 1587456305.4954
MEM 144.527344 1587456305.6076
MEM 150.152344 1587456305.7224
MEM 151.714844 1587456305.8452
MEM 151.714844 1587456305.9760
MEM 151.714844 1587456306.1086
MEM 151.714844 1587456306.2333
MEM 151.714844 1587456306.3617
MEM 151.714844 1587456306.4908
MEM 151.714844 1587456306.6106
MEM 151.714844 1587456306.7377
MEM 151.714844 1587456306.8829
MEM 151.714844 1587456307.0245
MEM 151.714844 1587456307.1636
MEM 151.714844 1587456307.2845
MEM 151.714844 1587456307.4137
MEM 151.714844 1587456307.5285
MEM 151.714844 1587456307.6416
MEM 152.960938 1587456307.7582
MEM 152.960938 1587456307.8839
MEM 152.960938 1587456308.0019
MEM 152.960938 1587456308.1267
MEM 152.960938 1587456308.2441
MEM 152.960938 1587456308.3596
MEM 152.960938 1587456308.4724
MEM 152.960938 1587456308.5880
MEM 153.160156 1587456308.7047
MEM 582.238281 1587456308.8208
CHLD 0 143.945312 1587456308.8319
CHLD 1 150.082031 1587456308.8320
CHLD 2 160.867188 1587456308.8320
MEM 703.765625 1587456308.9440
CHLD 0 168.500000 1587456308.9585
CHLD 1 166.957031 1587456308.9585
CHLD 2 217.812500 1587456308.9585
MEM 715.906250 1587456309.0818
CHLD 0 173.187500 1587456309.1399
CHLD 1 173.132812 1587456309.1400
CHLD 2 217.812500 1587456309.1400
MEM 717.816406 1587456309.2545
CHLD 0 173.187500 1587456309.3135
CHLD 1 173.132812 1587456309.3136
CHLD 2 217.812500 1587456309.3136
MEM 717.816406 1587456309.4231
CHLD 0 173.187500 1587456309.4766
CHLD 1 173.132812 1587456309.4766
CHLD 2 217.812500 1587456309.4766
MEM 717.816406 1587456309.5877
CHLD 0 173.187500 1587456309.6431
CHLD 1 173.132812 1587456309.6432
CHLD 2 217.812500 1587456309.6433
MEM 717.816406 1587456309.7531
CHLD 0 173.371094 1587456309.8159
CHLD 1 173.132812 1587456309.8159
CHLD 2 217.812500 1587456309.8160
MEM 718.355469 1587456309.9282
CHLD 0 174.257812 1587456309.9621
CHLD 1 173.312500 1587456309.9622
CHLD 2 217.812500 1587456309.9622
MEM 757.210938 1587456310.0728
CHLD 0 197.000000 1587456310.0958
CHLD 1 196.191406 1587456310.0959
CHLD 2 217.812500 1587456310.0959
MEM 765.449219 1587456310.2050
CHLD 0 197.000000 1587456310.2456
CHLD 1 196.953125 1587456310.2456
CHLD 2 217.812500 1587456310.2457
MEM 765.449219 1587456310.3542
CHLD 0 197.000000 1587456310.3765
