CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
CHLD 1 249.070312 1587455258.5946
CHLD 2 218.582031 1587455258.5946
MEM 861.539062 1587455258.7044
CHLD 0 249.398438 1587455258.7260
CHLD 1 249.070312 1587455258.7260
CHLD 2 218.816406 1587455258.7260
MEM 864.015625 1587455258.8345
CHLD 0 249.656250 1587455258.8441
CHLD 1 249.324219 1587455258.8441
CHLD 2 220.781250 1587455258.8441
MEM 969.945312 1587455258.9682
CHLD 0 250.171875 1587455258.9816
CHLD 1 249.582031 1587455258.9816
CHLD 2 328.000000 1587455258.9816
MEM 972.511719 1587455259.0911
CHLD 0 250.429688 1587455259.1128
CHLD 1 249.839844 1587455259.1128
CHLD 2 328.246094 1587455259.1129
MEM 972.769531 1587455259.2215
CHLD 0 250.429688 1587455259.2476
CHLD 1 249.839844 1587455259.2476
CHLD 2 328.246094 1587455259.2476
MEM 973.027344 1587455259.3567
CHLD 0 250.429688 1587455259.3906
CHLD 1 250.097656 1587455259.3906
CHLD 2 328.246094 1587455259.3907
MEM 973.285156 1587455259.4995
CHLD 0 250.687500 1587455259.5143
CHLD 1 250.097656 1587455259.5143
CHLD 2 328.246094 1587455259.5143
MEM 973.285156 1587455259.6236
CHLD 0 250.687500 1587455259.6548
CHLD 1 250.097656 1587455259.6549
CHLD 2 328.246094 1587455259.6549
MEM 973.542969 1587455259.7642
CHLD 0 250.945312 1587455259.8067
CHLD 1 250.355469 1587455259.8067
CHLD 2 328.246094 1587455259.8068
MEM 973.800781 1587455259.9155
CHLD 0 250.945312 1587455259.9325
CHLD 1 250.355469 1587455259.9326
CHLD 2 328.246094 1587455259.9326
MEM 973.800781 1587455260.0420
CHLD 0 250.945312 1587455260.0743
CHLD 1 250.355469 1587455260.0743
CHLD 2 328.246094 1587455260.0743
MEM 974.316406 1587455260.1857
CHLD 0 251.203125 1587455260.1964
CHLD 1 250.613281 1587455260.1964
CHLD 2 328.246094 1587455260.1965
MEM 974.316406 1587455260.3050
CHLD 0 251.203125 1587455260.3402
CHLD 1 250.613281 1587455260.3403
CHLD 2 328.246094 1587455260.3403
MEM 974.832031 1587455260.4491
CHLD 0 251.460938 1587455260.4790
CHLD 1 250.871094 1587455260.4791
CHLD 2 328.246094 1587455260.4791
MEM 974.832031 1587455260.5878
CHLD 0 251.460938 1587455260.6122
CHLD 1 250.871094 1587455260.6122
CHLD 2 328.246094 1587455260.6123
MEM 974.832031 1587455260.7211
CHLD 0 251.460938 1587455260.7356
CHLD 1 251.128906 1587455260.7357
CHLD 2 328.246094 1587455260.7357
MEM 975.347656 1587455260.8456
CHLD 0 251.718750 1587455260.8708
CHLD 1 251.128906 1587455260.8708
CHLD 2 328.246094 1587455260.8709
MEM 975.347656 1587455260.9801
