CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
MEM 865.160156 1587455459.0428
CHLD 0 249.742188 1587455459.0548
CHLD 1 249.667969 1587455459.0548
CHLD 2 220.945312 1587455459.0549
MEM 937.109375 1587455459.1669
CHLD 0 250.257812 1587455459.1762
CHLD 1 249.925781 1587455459.1762
CHLD 2 302.433594 1587455459.1763
MEM 973.964844 1587455459.2851
CHLD 0 250.515625 1587455459.2979
CHLD 1 250.183594 1587455459.2979
CHLD 2 328.460938 1587455459.2979
MEM 974.480469 1587455459.4095
CHLD 0 250.773438 1587455459.4198
CHLD 1 250.441406 1587455459.4198
CHLD 2 328.460938 1587455459.4199
MEM 974.480469 1587455459.5299
CHLD 0 251.031250 1587455459.5622
CHLD 1 250.441406 1587455459.5622
CHLD 2 328.460938 1587455459.5623
MEM 974.738281 1587455459.6710
CHLD 0 251.031250 1587455459.6950
CHLD 1 250.441406 1587455459.6950
CHLD 2 328.460938 1587455459.6951
MEM 974.996094 1587455459.8042
CHLD 0 251.031250 1587455459.8343
CHLD 1 250.699219 1587455459.8344
CHLD 2 328.460938 1587455459.8344
MEM 975.253906 1587455459.9438
CHLD 0 251.289062 1587455459.9753
CHLD 1 250.699219 1587455459.9754
CHLD 2 328.460938 1587455459.9754
MEM 975.511719 1587455460.0846
CHLD 0 251.289062 1587455460.1101
CHLD 1 250.957031 1587455460.1102
CHLD 2 328.460938 1587455460.1102
MEM 975.511719 1587455460.2216
CHLD 0 251.546875 1587455460.2461
CHLD 1 250.957031 1587455460.2462
CHLD 2 328.460938 1587455460.2462
MEM 975.769531 1587455460.3593
CHLD 0 251.546875 1587455460.3872
CHLD 1 251.214844 1587455460.3873
CHLD 2 328.460938 1587455460.3873
MEM 976.027344 1587455460.4964
CHLD 0 251.546875 1587455460.5184
CHLD 1 251.214844 1587455460.5185
CHLD 2 328.460938 1587455460.5185
MEM 976.285156 1587455460.6280
CHLD 0 251.804688 1587455460.6514
CHLD 1 251.214844 1587455460.6515
CHLD 2 328.460938 1587455460.6515
MEM 976.542969 1587455460.7604
CHLD 0 251.804688 1587455460.7897
CHLD 1 251.472656 1587455460.7897
CHLD 2 328.460938 1587455460.7898
MEM 976.800781 1587455460.8994
CHLD 0 252.062500 1587455460.9256
CHLD 1 251.472656 1587455460.9256
CHLD 2 328.460938 1587455460.9257
MEM 976.800781 1587455461.0345
CHLD 0 252.062500 1587455461.0479
CHLD 1 251.472656 1587455461.0480
CHLD 2 328.460938 1587455461.0480
MEM 977.316406 1587455461.1567
CHLD 0 252.320312 1587455461.1646
CHLD 1 251.730469 1587455461.1647
CHLD 2 328.460938 1587455461.1647
MEM 977.371094 1587455461.2731
CHLD 0 252.320312 1587455461.2902
CHLD 1 251.730469 1587455461.2902
CHLD 2 328.515625 1587455461.2902
MEM 977.886719 1587455461.3996
CHLD 0 252.578125 1587455461.4308
CHLD 1 251.988281 1587455461.4308
CHLD 2 328.515625 1587455461.4309
MEM 978.312500 1587455461.5391
CHLD 0 252.835938 1587455461.5470
CHLD 1 251.988281 1587455461.5470
CHLD 2 328.683594 1587455461.5471
MEM 981.984375 1587455461.6557
CHLD 0 253.093750 1587455461.6648
CHLD 1 252.246094 1587455461.6648
CHLD 2 329.144531 1587455461.6648
MEM 1156.316406 1587455461.7906
CHLD 0 253.351562 1587455461.7995
CHLD 1 252.503906 1587455461.7995
CHLD 2 507.976562 1587455461.7996
MEM 1199.628906 1587455461.9133
CHLD 0 253.609375 1587455461.9230
CHLD 1 252.761719 1587455461.9230
CHLD 2 550.773438 1587455461.9230
MEM 1278.234375 1587455462.0544
CHLD 0 254.097656 1587455462.0996
CHLD 1 253.277344 1587455462.0997
CHLD 2 626.312500 1587455462.0997
MEM 1278.750000 1587455462.2230
CHLD 0 254.355469 1587455462.2401
CHLD 1 253.535156 1587455462.2401
CHLD 2 626.312500 1587455462.2402
MEM 1165.601562 1587455462.3637
CHLD 0 197.375000 1587455462.3872
CHLD 1 254.023438 1587455462.3873
CHLD 2 516.542969 1587455462.3873
MEM 1153.531250 1587455462.4981
CHLD 0 197.941406 1587455462.5107
CHLD 1 254.023438 1587455462.5107
CHLD 2 559.597656 1587455462.5108
MEM 1234.832031 1587455462.6355
CHLD 0 209.375000 1587455462.6707
CHLD 1 196.457031 1587455462.6708
CHLD 2 626.371094 1587455462.6708
MEM 1178.613281 1587455462.8058
CHLD 0 209.386719 1587455462.8213
CHLD 1 198.050781 1587455462.8213
CHLD 2 626.371094 1587455462.8214
MEM 1124.820312 1587455462.9310
CHLD 0 209.386719 1587455462.9400
CHLD 1 209.484375 1587455462.9401
CHLD 2 563.464844 1587455462.9401
MEM 1136.679688 1587455463.0500
CHLD 0 209.386719 1587455463.0816
CHLD 1 209.484375 1587455463.0817
CHLD 2 576.355469 1587455463.0817
MEM 1151.632812 1587455463.1951
CHLD 0 209.386719 1587455463.2317
CHLD 1 209.484375 1587455463.2317
CHLD 2 589.246094 1587455463.2318
MEM 1159.882812 1587455463.3484
CHLD 0 209.386719 1587455463.3671
CHLD 1 209.484375 1587455463.3672
CHLD 2 596.464844 1587455463.3672
MEM 1166.125000 1587455463.4767
CHLD 0 209.468750 1587455463.5108
CHLD 1 209.484375 1587455463.5108
CHLD 2 604.714844 1587455463.5109
MEM 1185.871094 1587455463.6199
CHLD 0 209.613281 1587455463.6472
CHLD 1 209.484375 1587455463.6473
CHLD 2 635.652344 1587455463.6473
MEM 1253.175781 1587455463.7625
CHLD 0 220.437500 1587455463.7980
CHLD 1 209.484375 1587455463.7980
CHLD 2 678.964844 1587455463.7981
