CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
MEM 1.554688 1587454585.1550
MEM 18.796875 1587454585.2553
MEM 48.953125 1587454585.3557
MEM 59.734375 1587454585.4561
MEM 76.003906 1587454585.5565
MEM 88.273438 1587454585.6568
MEM 107.945312 1587454585.7572
MEM 113.289062 1587454585.8576
MEM 122.628906 1587454585.9579
MEM 129.269531 1587454586.0582
MEM 137.636719 1587454586.1585
MEM 142.484375 1587454586.2591
MEM 142.484375 1587454586.3598
MEM 142.484375 1587454586.4609
MEM 142.484375 1587454586.5618
MEM 142.484375 1587454586.6626
MEM 142.484375 1587454586.7637
MEM 142.484375 1587454586.8643
MEM 142.484375 1587454586.9650
MEM 142.484375 1587454587.0658
MEM 142.484375 1587454587.1666
MEM 142.484375 1587454587.2673
MEM 142.484375 1587454587.3679
MEM 142.484375 1587454587.4685
MEM 142.484375 1587454587.5694
MEM 142.484375 1587454587.6702
MEM 142.484375 1587454587.7708
MEM 142.484375 1587454587.8714
MEM 142.484375 1587454587.9722
MEM 142.484375 1587454588.0730
MEM 142.484375 1587454588.1737
MEM 142.484375 1587454588.2744
MEM 142.484375 1587454588.3751
MEM 142.484375 1587454588.4756
MEM 142.484375 1587454588.5763
MEM 142.484375 1587454588.6770
MEM 142.484375 1587454588.7778
MEM 142.484375 1587454588.8785
MEM 142.484375 1587454588.9792
MEM 142.484375 1587454589.0799
MEM 142.484375 1587454589.1810
MEM 142.484375 1587454589.2818
MEM 142.484375 1587454589.3824
MEM 142.484375 1587454589.4833
MEM 142.484375 1587454589.5841
MEM 142.484375 1587454589.6853
MEM 142.484375 1587454589.7868
MEM 142.484375 1587454589.8876
MEM 142.484375 1587454589.9887
MEM 142.484375 1587454590.0896
MEM 142.484375 1587454590.1900
MEM 142.484375 1587454590.2904
MEM 142.484375 1587454590.3907
MEM 142.484375 1587454590.4910
MEM 143.644531 1587454590.5913
MEM 143.644531 1587454590.6916
MEM 143.644531 1587454590.7919
MEM 143.644531 1587454590.8923
MEM 143.644531 1587454590.9926
MEM 143.644531 1587454591.0929
MEM 143.644531 1587454591.1933
MEM 143.644531 1587454591.2937
MEM 143.644531 1587454591.3940
MEM 144.277344 1587454591.4944
MEM 144.277344 1587454591.5948
MEM 144.277344 1587454591.6951
MEM 144.277344 1587454591.7954
MEM 144.277344 1587454591.8962
MEM 144.277344 1587454591.9968
MEM 144.277344 1587454592.0975
MEM 144.277344 1587454592.1982
MEM 144.277344 1587454592.2989
MEM 144.277344 1587454592.3996
MEM 144.277344 1587454592.5002
MEM 144.277344 1587454592.6009
MEM 144.277344 1587454592.7020
MEM 144.277344 1587454592.8027
MEM 144.277344 1587454592.9034
MEM 144.277344 1587454593.0040
MEM 144.277344 1587454593.1046
MEM 144.277344 1587454593.2053
MEM 144.277344 1587454593.3059
MEM 144.277344 1587454593.4067
MEM 144.277344 1587454593.5077
MEM 144.277344 1587454593.6083
MEM 144.277344 1587454593.7090
MEM 144.277344 1587454593.8101
MEM 144.277344 1587454593.9107
MEM 144.277344 1587454594.0113
MEM 144.277344 1587454594.1124
MEM 144.277344 1587454594.2137
MEM 144.277344 1587454594.3144
MEM 144.277344 1587454594.4152
MEM 144.277344 1587454594.5160
MEM 144.277344 1587454594.6169
MEM 144.277344 1587454594.7182
MEM 144.277344 1587454594.8189
MEM 144.277344 1587454594.9196
MEM 144.277344 1587454595.0203
MEM 144.277344 1587454595.1210
MEM 144.277344 1587454595.2221
