CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
MEM 1.550781 1587454750.4306
MEM 13.765625 1587454750.5427
MEM 15.332031 1587454750.6568
MEM 18.644531 1587454750.7692
MEM 19.859375 1587454750.8764
MEM 21.460938 1587454750.9857
MEM 22.382812 1587454751.1029
MEM 22.871094 1587454751.2268
MEM 24.269531 1587454751.3496
MEM 51.386719 1587454751.4618
MEM 55.726562 1587454751.5973
MEM 56.484375 1587454751.7038
MEM 57.597656 1587454751.8269
MEM 58.714844 1587454751.9467
MEM 62.703125 1587454752.0662
MEM 63.832031 1587454752.1863
MEM 64.226562 1587454752.3090
MEM 65.488281 1587454752.4323
MEM 68.722656 1587454752.5517
MEM 74.511719 1587454752.6583
MEM 75.847656 1587454752.7810
MEM 76.621094 1587454752.9080
MEM 78.156250 1587454753.0286
MEM 80.359375 1587454753.1485
MEM 82.121094 1587454753.2675
MEM 83.683594 1587454753.3779
MEM 86.187500 1587454753.4988
MEM 87.449219 1587454753.6097
MEM 88.832031 1587454753.7313
MEM 90.906250 1587454753.8417
MEM 92.363281 1587454753.9622
MEM 95.625000 1587454754.0818
MEM 97.960938 1587454754.2018
MEM 99.074219 1587454754.3213
MEM 99.996094 1587454754.4417
MEM 101.488281 1587454754.5610
MEM 103.832031 1587454754.6807
MEM 106.246094 1587454754.8001
MEM 109.300781 1587454754.9217
MEM 111.070312 1587454755.0279
MEM 112.730469 1587454755.1346
MEM 113.476562 1587454755.2565
MEM 116.214844 1587454755.3688
MEM 117.792969 1587454755.4852
MEM 118.851562 1587454755.6057
MEM 119.714844 1587454755.7236
MEM 123.316406 1587454755.8438
MEM 125.785156 1587454755.9532
MEM 128.328125 1587454756.0631
MEM 128.636719 1587454756.1824
MEM 129.613281 1587454756.3027
MEM 132.484375 1587454756.4225
MEM 134.593750 1587454756.5457
MEM 136.351562 1587454756.6704
MEM 137.097656 1587454756.7949
MEM 138.375000 1587454756.9020
MEM 139.179688 1587454757.0249
MEM 139.433594 1587454757.1461
MEM 140.386719 1587454757.2621
MEM 141.664062 1587454757.3836
MEM 141.972656 1587454757.5000
MEM 141.972656 1587454757.6210
MEM 141.972656 1587454757.7419
MEM 141.972656 1587454757.8633
MEM 141.972656 1587454757.9833
MEM 141.972656 1587454758.1064
MEM 141.972656 1587454758.2283
MEM 141.972656 1587454758.3477
MEM 141.972656 1587454758.4684
MEM 141.972656 1587454758.5902
MEM 141.972656 1587454758.6997
MEM 141.972656 1587454758.8316
MEM 141.972656 1587454758.9535
MEM 141.972656 1587454759.0834
MEM 141.972656 1587454759.2046
MEM 141.972656 1587454759.3290
MEM 141.972656 1587454759.4559
MEM 141.972656 1587454759.5807
MEM 141.972656 1587454759.7023
MEM 141.972656 1587454759.8286
MEM 141.972656 1587454759.9506
MEM 141.972656 1587454760.0731
MEM 141.972656 1587454760.1948
MEM 141.972656 1587454760.3202
MEM 141.972656 1587454760.4359
MEM 141.972656 1587454760.5557
MEM 141.972656 1587454760.6776
MEM 141.972656 1587454760.7983
MEM 141.972656 1587454760.9220
MEM 141.972656 1587454761.0290
MEM 141.972656 1587454761.1373
MEM 141.972656 1587454761.2454
MEM 142.957031 1587454761.3521
MEM 143.214844 1587454761.4612
MEM 143.214844 1587454761.5681
MEM 143.214844 1587454761.6778
MEM 143.214844 1587454761.7872
MEM 143.214844 1587454761.8964
MEM 143.214844 1587454762.0054
MEM 143.214844 1587454762.1143
MEM 143.214844 1587454762.2235
MEM 143.375000 1587454762.3430
MEM 143.589844 1587454762.4503
MEM 143.910156 1587454762.5591
CHLD 0 158.695312 1587454762.5747
CHLD 1 158.644531 1587454762.5748
CHLD 2 209.621094 1587454762.5748
MEM 143.910156 1587454762.6752
CHLD 0 161.578125 1587454762.6865
CHLD 1 160.117188 1587454762.6865
CHLD 2 209.621094 1587454762.6865
MEM 143.910156 1587454762.7869
CHLD 0 164.859375 1587454762.8006
CHLD 1 165.085938 1587454762.8006
CHLD 2 209.621094 1587454762.8006
MEM 143.910156 1587454762.9010
CHLD 0 165.144531 1587454762.9126
CHLD 1 165.085938 1587454762.9127
