CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
CHLD 2 218.242188 1587455321.2874
MEM 859.523438 1587455321.3960
CHLD 0 248.785156 1587455321.4122
CHLD 1 248.851562 1587455321.4123
CHLD 2 218.476562 1587455321.4123
MEM 860.011719 1587455321.5216
CHLD 0 249.039062 1587455321.5298
CHLD 1 248.851562 1587455321.5299
CHLD 2 218.593750 1587455321.5299
MEM 860.562500 1587455321.6382
CHLD 0 249.296875 1587455321.6467
CHLD 1 248.851562 1587455321.6467
CHLD 2 218.886719 1587455321.6467
MEM 862.578125 1587455321.7553
CHLD 0 249.554688 1587455321.7635
CHLD 1 248.851562 1587455321.7636
CHLD 2 220.644531 1587455321.7636
MEM 919.003906 1587455321.8737
CHLD 0 249.812500 1587455321.8846
CHLD 1 249.105469 1587455321.8847
CHLD 2 287.386719 1587455321.8847
MEM 971.066406 1587455321.9978
CHLD 0 250.070312 1587455322.0130
CHLD 1 249.363281 1587455322.0131
CHLD 2 328.105469 1587455322.0131
MEM 971.324219 1587455322.1226
CHLD 0 250.070312 1587455322.1570
CHLD 1 249.621094 1587455322.1571
CHLD 2 328.105469 1587455322.1571
MEM 971.582031 1587455322.2686
CHLD 0 250.328125 1587455322.2907
CHLD 1 249.621094 1587455322.3071
CHLD 2 328.105469 1587455322.3073
MEM 971.839844 1587455322.4182
CHLD 0 250.328125 1587455322.4497
CHLD 1 249.878906 1587455322.4498
CHLD 2 328.105469 1587455322.4498
MEM 972.097656 1587455322.5612
CHLD 0 250.585938 1587455322.6057
CHLD 1 249.878906 1587455322.6058
CHLD 2 328.105469 1587455322.6059
MEM 972.355469 1587455322.7178
CHLD 0 250.585938 1587455322.7439
CHLD 1 250.136719 1587455322.7439
CHLD 2 328.105469 1587455322.7440
MEM 972.613281 1587455322.8524
CHLD 0 250.843750 1587455322.8786
CHLD 1 250.136719 1587455322.8786
CHLD 2 328.105469 1587455322.8786
MEM 972.613281 1587455322.9944
CHLD 0 251.101562 1587455323.0485
CHLD 1 250.394531 1587455323.0486
CHLD 2 328.105469 1587455323.0486
MEM 973.128906 1587455323.1620
CHLD 0 251.101562 1587455323.2080
CHLD 1 250.394531 1587455323.2080
CHLD 2 328.105469 1587455323.2081
MEM 973.386719 1587455323.3187
CHLD 0 251.359375 1587455323.3596
CHLD 1 250.652344 1587455323.3597
CHLD 2 328.105469 1587455323.3597
MEM 973.644531 1587455323.4694
CHLD 0 251.359375 1587455323.4830
CHLD 1 250.652344 1587455323.4830
CHLD 2 328.105469 1587455323.4831
MEM 973.902344 1587455323.5924
CHLD 0 251.617188 1587455323.6199
CHLD 1 250.910156 1587455323.6199
CHLD 2 328.105469 1587455323.6200
MEM 974.160156 1587455323.7304
CHLD 0 251.617188 1587455323.7602
CHLD 1 250.910156 1587455323.7603
CHLD 2 328.105469 1587455323.7603
MEM 974.417969 1587455323.8698
CHLD 0 251.875000 1587455323.9075
CHLD 1 251.167969 1587455323.9076
CHLD 2 328.105469 1587455323.9076
MEM 974.675781 1587455324.0178
CHLD 0 251.875000 1587455324.0448
CHLD 1 251.167969 1587455324.0449
CHLD 2 328.105469 1587455324.0449
MEM 974.730469 1587455324.1533
CHLD 0 251.875000 1587455324.1710
CHLD 1 251.167969 1587455324.1711
CHLD 2 328.160156 1587455324.1711
MEM 975.300781 1587455324.2807
CHLD 0 252.132812 1587455324.3063
CHLD 1 251.425781 1587455324.3064
CHLD 2 328.214844 1587455324.3064
MEM 975.558594 1587455324.4158
CHLD 0 252.132812 1587455324.4384
CHLD 1 251.683594 1587455324.4384
CHLD 2 328.214844 1587455324.4385
MEM 976.101562 1587455324.5480
CHLD 0 252.390625 1587455324.5621
CHLD 1 251.941406 1587455324.5622
CHLD 2 328.500000 1587455324.5622
MEM 1029.253906 1587455324.6784
CHLD 0 252.906250 1587455324.6928
CHLD 1 252.199219 1587455324.6928
CHLD 2 395.058594 1587455324.6929
MEM 1159.824219 1587455324.8079
CHLD 0 253.464844 1587455324.8161
CHLD 1 252.457031 1587455324.8161
CHLD 2 512.996094 1587455324.8161
MEM 1200.343750 1587455324.9311
CHLD 0 253.464844 1587455324.9398
CHLD 1 252.714844 1587455324.9398
CHLD 2 552.699219 1587455324.9398
MEM 1276.140625 1587455325.0547
CHLD 0 253.722656 1587455325.0688
CHLD 1 252.972656 1587455325.0688
CHLD 2 625.917969 1587455325.0689
MEM 1222.429688 1587455325.1865
CHLD 0 208.652344 1587455325.2060
CHLD 1 253.289062 1587455325.2060
CHLD 2 625.917969 1587455325.2061
MEM 1120.667969 1587455325.3242
CHLD 0 208.734375 1587455325.3412
CHLD 1 253.289062 1587455325.3413
CHLD 2 518.468750 1587455325.3413
MEM 1159.066406 1587455325.4560
CHLD 0 208.734375 1587455325.4712
CHLD 1 253.789062 1587455325.4713
CHLD 2 556.367188 1587455325.4713
MEM 1153.406250 1587455325.5848
CHLD 0 208.734375 1587455325.6185
CHLD 1 205.851562 1587455325.6186
CHLD 2 623.656250 1587455325.6186
MEM 1187.046875 1587455325.7290
CHLD 0 208.734375 1587455325.7582
CHLD 1 208.808594 1587455325.7582
CHLD 2 625.976562 1587455325.7583
MEM 1187.046875 1587455325.8717
CHLD 0 208.734375 1587455325.9023
CHLD 1 208.808594 1587455325.9023
CHLD 2 625.976562 1587455325.9024
MEM 1187.128906 1587455326.0121
CHLD 0 208.734375 1587455326.0376
CHLD 1 208.890625 1587455326.0376
CHLD 2 625.976562 1587455326.0376
MEM 1187.292969 1587455326.1597
CHLD 0 208.898438 1587455326.1782
CHLD 1 208.890625 1587455326.1783
CHLD 2 625.976562 1587455326.1783
MEM 1198.117188 1587455326.2925
CHLD 0 219.722656 1587455326.3297
CHLD 1 208.890625 1587455326.3298
CHLD 2 625.976562 1587455326.3298
MEM 1076.429688 1587455326.4421
CHLD 0 219.722656 1587455326.4884
CHLD 1 208.890625 1587455326.4885
CHLD 2 520.789062 1587455326.4885
MEM 1122.578125 1587455326.5980
CHLD 0 219.722656 1587455326.6368
CHLD 1 208.890625 1587455326.6368
CHLD 2 551.984375 1587455326.6368
MEM 1130.570312 1587455326.7464
CHLD 0 219.722656 1587455326.7828
CHLD 1 208.890625 1587455326.7829
CHLD 2 559.718750 1587455326.7829
MEM 1138.046875 1587455326.8932
CHLD 0 219.722656 1587455326.9343
CHLD 1 208.890625 1587455326.9343
CHLD 2 568.742188 1587455326.9344
MEM 1147.027344 1587455327.0433
CHLD 0 219.937500 1587455327.0852
CHLD 1 208.917969 1587455327.0853
CHLD 2 576.734375 1587455327.0853
MEM 1214.996094 1587455327.1940
CHLD 0 269.953125 1587455327.2027
CHLD 1 209.054688 1587455327.2028
CHLD 2 595.812500 1587455327.2028
MEM 1242.636719 1587455327.3181
CHLD 0 269.753906 1587455327.3467
CHLD 1 219.878906 1587455327.3468
CHLD 2 626.234375 1587455327.3468
MEM 1318.691406 1587455327.4560
CHLD 0 295.792969 1587455327.5048
CHLD 1 219.878906 1587455327.5049
CHLD 2 678.570312 1587455327.5049
MEM 1337.769531 1587455327.6136
CHLD 0 263.828125 1587455327.6382
CHLD 1 219.878906 1587455327.6382
CHLD 2 678.570312 1587455327.6383
MEM 1317.402344 1587455327.7469
CHLD 0 275.425781 1587455327.7595
CHLD 1 219.878906 1587455327.7595
CHLD 2 678.570312 1587455327.7596
MEM 1327.832031 1587455327.8732
CHLD 0 266.144531 1587455327.8825
CHLD 1 242.011719 1587455327.8826
CHLD 2 678.570312 1587455327.8826
MEM 1286.660156 1587455328.0033
CHLD 0 263.828125 1587455328.0181
CHLD 1 295.890625 1587455328.0181
CHLD 2 555.058594 1587455328.0182
MEM 1278.988281 1587455328.1337
CHLD 0 263.828125 1587455328.1434
CHLD 1 295.949219 1587455328.1434
CHLD 2 583.933594 1587455328.1435
MEM 1294.199219 1587455328.2552
CHLD 0 263.828125 1587455328.2696
CHLD 1 282.285156 1587455328.2696
CHLD 2 613.324219 1587455328.2697
MEM 1357.105469 1587455328.3881
CHLD 0 263.828125 1587455328.4039
CHLD 1 274.550781 1587455328.4039
CHLD 2 678.550781 1587455328.4040
MEM 1349.890625 1587455328.5202
CHLD 0 263.828125 1587455328.5358
