CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
MEM 144.503906 1587454944.2815
MEM 144.503906 1587454944.4071
MEM 144.503906 1587454944.5329
MEM 144.503906 1587454944.6572
MEM 144.503906 1587454944.7760
MEM 144.503906 1587454944.8984
MEM 144.503906 1587454945.0198
MEM 144.503906 1587454945.1382
MEM 144.503906 1587454945.2480
MEM 144.503906 1587454945.3629
MEM 144.503906 1587454945.4880
MEM 144.503906 1587454945.6072
MEM 144.503906 1587454945.7268
MEM 144.503906 1587454945.8480
MEM 144.503906 1587454945.9721
MEM 144.503906 1587454946.0806
MEM 144.503906 1587454946.1945
MEM 144.503906 1587454946.3236
MEM 144.503906 1587454946.4429
MEM 144.503906 1587454946.5626
MEM 144.503906 1587454946.6833
MEM 144.503906 1587454946.8036
MEM 144.503906 1587454946.9265
MEM 144.503906 1587454947.0501
MEM 144.503906 1587454947.1725
MEM 144.503906 1587454947.2953
MEM 144.503906 1587454947.4035
MEM 144.503906 1587454947.5096
MEM 144.503906 1587454947.6287
MEM 144.503906 1587454947.7484
MEM 144.503906 1587454947.8724
MEM 144.503906 1587454947.9961
MEM 144.503906 1587454948.1539
MEM 144.503906 1587454948.2625
MEM 144.503906 1587454948.3686
MEM 144.503906 1587454948.4890
MEM 144.503906 1587454948.6168
MEM 144.503906 1587454948.7324
MEM 144.503906 1587454948.8569
MEM 144.503906 1587454948.9771
MEM 144.503906 1587454949.1018
MEM 144.503906 1587454949.2230
MEM 144.503906 1587454949.3372
MEM 144.503906 1587454949.4459
MEM 144.503906 1587454949.5543
MEM 144.503906 1587454949.6614
MEM 144.503906 1587454949.7704
MEM 144.503906 1587454949.8784
MEM 144.503906 1587454949.9873
MEM 144.503906 1587454950.0961
MEM 144.503906 1587454950.2051
MEM 144.503906 1587454950.3115
MEM 144.503906 1587454950.4187
MEM 144.503906 1587454950.5278
MEM 144.750000 1587454950.6342
MEM 144.750000 1587454950.7404
MEM 144.750000 1587454950.8676
MEM 144.750000 1587454950.9867
MEM 144.750000 1587454951.1077
MEM 144.750000 1587454951.2256
MEM 144.750000 1587454951.3462
MEM 144.750000 1587454951.4581
MEM 144.750000 1587454951.5759
MEM 144.750000 1587454951.6998
MEM 144.750000 1587454951.8183
MEM 144.750000 1587454951.9376
MEM 144.750000 1587454952.0562
MEM 144.750000 1587454952.1752
MEM 144.750000 1587454952.2952
MEM 144.750000 1587454952.4147
MEM 144.750000 1587454952.5340
MEM 144.750000 1587454952.6526
MEM 144.750000 1587454952.7716
MEM 144.750000 1587454952.8903
MEM 144.750000 1587454953.0107
MEM 144.750000 1587454953.1295
