CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
MEM 1.546875 1587454956.0520
MEM 19.054688 1587454956.1581
MEM 53.882812 1587454956.2693
MEM 59.941406 1587454956.3758
MEM 77.687500 1587454956.4819
MEM 91.480469 1587454956.5880
MEM 110.750000 1587454956.6944
MEM 115.191406 1587454956.8007
MEM 124.003906 1587454956.9075
MEM 132.000000 1587454957.0136
MEM 141.191406 1587454957.1197
MEM 142.187500 1587454957.2378
MEM 142.187500 1587454957.3571
MEM 142.187500 1587454957.4762
MEM 142.187500 1587454957.5974
MEM 142.187500 1587454957.7160
MEM 142.187500 1587454957.8350
MEM 142.187500 1587454957.9533
MEM 142.187500 1587454958.0718
MEM 142.187500 1587454958.1785
MEM 142.187500 1587454958.2958
MEM 142.187500 1587454958.4038
MEM 142.187500 1587454958.5110
MEM 143.335938 1587454958.6186
MEM 143.335938 1587454958.7246
MEM 143.335938 1587454958.8310
MEM 143.335938 1587454958.9390
MEM 143.335938 1587454959.0453
MEM 143.335938 1587454959.1556
MEM 143.335938 1587454959.2622
MEM 143.335938 1587454959.3687
MEM 143.535156 1587454959.4749
MEM 143.820312 1587454959.5823
MEM 144.218750 1587454959.6888
MEM 144.218750 1587454959.8060
MEM 144.218750 1587454959.9242
MEM 144.218750 1587454960.0443
MEM 144.218750 1587454960.1636
MEM 144.218750 1587454960.2825
MEM 144.218750 1587454960.4014
MEM 144.218750 1587454960.5203
MEM 144.218750 1587454960.6272
MEM 144.218750 1587454960.7445
MEM 144.218750 1587454960.8641
